track_id,track_name,artists,vibe_suggested,vibe_score,reason,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo
0BUuuEvNa5T4lMaewyiudB,93 Million Miles,Jason Mraz,workout,0.5922641666666667,"workout_low_e_or_tempo e=0.45, tempo=140.2",0.572,0.454,0.515,0.477,1.37e-05,0.0258,140.182
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,relax,0.6806500000000001,"relax_high_e_or_d e=0.45, d=0.76",0.755,0.454,0.33,0.757,0.0,0.0352,120.06
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Jason Mraz,workout,0.59564625,"workout_low_e_or_tempo e=0.43, tempo=143.8",0.633,0.429,0.52,0.0444,0.0,0.0381,143.793
1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,workout,0.71595,"workout_low_e_or_tempo e=0.46, tempo=202.0",0.593,0.455,0.564,0.366,0.0,0.0388,202.019
6sp6Vx3sv2l5qxPfbQkcyt,The Haves,Eddie Vedder,workout,0.6332933333333334,"workout_low_e_or_tempo e=0.52, tempo=151.8",0.474,0.519,0.326,0.281,0.0,0.0253,151.832
2gRKq9rIC5i1zuxp06zJWH,What's Left of You,Chord Overstreet,relax,0.57275,"relax_high_e_or_d e=0.51, d=0.73",0.731,0.507,0.265,0.572,0.0,0.046,117.969
6owKuyHxUqidcAA6fPKSyy,We Can't Stop,Boyce Avenue;Bea Miller,relax,0.6626,"relax_high_e_or_d e=0.35, d=0.70",0.705,0.347,0.36,0.674,0.0,0.0301,80.057
6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,Aaron Espe,relax,0.7643000000000001,"relax_high_e_or_d e=0.35, d=0.79",0.787,0.355,0.48,0.896,0.0201,0.0288,99.978
7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,Andrew Belle,workout,0.5037683333333334,"workout_low_e_or_tempo e=0.42, tempo=128.0",0.548,0.42,0.196,0.198,4.46e-06,0.0277,128.012
0ZwdH0m32I8odedwvspYTh,I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,relax,0.6211500000000001,"relax_high_e_or_d e=0.40, d=0.79",0.787,0.403,0.264,0.603,0.00857,0.033,118.042
3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),Five For Fighting,workout,0.40225958333333334,"workout_low_e_or_tempo e=0.42, tempo=102.1",0.382,0.416,0.125,0.0733,0.0,0.0302,102.089
38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,Jason Mraz,workout,0.5922641666666667,"workout_low_e_or_tempo e=0.45, tempo=140.2",0.572,0.454,0.515,0.477,1.37e-05,0.0258,140.182
0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,Five For Fighting,workout,0.6737070833333333,"workout_low_e_or_tempo e=0.84, tempo=97.6",0.6,0.845,0.392,0.048,0.0,0.0311,97.631
4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else - Acoustic,Callum J Wright,relax,0.66255,"relax_high_e_or_d e=0.38, d=0.79",0.794,0.38,0.617,0.762,0.0,0.0477,114.99
068qo0w1Ki0cjnFYOUhAm2,Stand by Me,Boyce Avenue,relax,0.80375,"relax_high_e_or_d e=0.27, d=0.73",0.728,0.266,0.307,0.872,1.03e-05,0.0293,115.189
2RFt6ZWQbr9mPhsft9u9eX,Losing Me,Gabrielle Aplin;JP Cooper,workout,0.530975,"workout_low_e_or_tempo e=0.41, tempo=133.9",0.66,0.407,0.257,0.236,0.0,0.0571,133.86
6R6ux6KaKrhAg2EIB2krdU,Without You,Parachute,workout,0.6899533333333333,"workout_low_e_or_tempo e=0.86, tempo=96.0",0.564,0.864,0.534,0.0761,0.0,0.0341,95.984
2D9w6sabdMCLSheW5aegwO,Absolutely Zero,Jason Mraz,workout,0.5548779166666667,"workout_low_e_or_tempo e=0.49, tempo=135.1",0.521,0.495,0.116,0.128,0.0,0.027,135.061
1Qo3taHLFSQpzLm5Sty7M4,Sleep All Day,Jason Mraz,workout,0.6969158333333334,"workout_low_e_or_tempo e=0.81, tempo=98.0",0.616,0.81,0.79,0.369,0.0,0.0668,97.994
71M4QMn8nrok1KFVXwEEyU,You and I Both,Jason Mraz,workout,0.6957158333333333,"workout_low_e_or_tempo e=0.81, tempo=99.0",0.615,0.812,0.74,0.184,0.0,0.0458,98.954
73CbJykoV6WapWGfTeRzTl,The Remedy (I Won't Worry),Jason Mraz,workout,0.7159333333333333,"workout_low_e_or_tempo e=0.87, tempo=94.5",0.589,0.867,0.795,0.041,0.0,0.0385,94.52
3ixLIO5BsTmic0Pp27FaPY,Too Much Food,Jason Mraz,workout,0.7433579166666667,"workout_low_e_or_tempo e=0.93, tempo=100.0",0.626,0.926,0.548,0.0265,0.0,0.0477,99.997
03yc0G2OoH1Eeyu7Piy8fK,I'm Yours,Jason Mraz,workout,0.6443195833333333,"workout_low_e_or_tempo e=0.43, tempo=151.0",0.693,0.43,0.731,0.565,0.0,0.0442,151.001
3tjjCCdXSdaVEo4q4y071G,Whole Again - Acoustic Version,Tobey Rosen,relax,0.8415,"relax_high_e_or_d e=0.14, d=0.74",0.736,0.145,0.235,0.855,0.0,0.0336,129.832
7Ca2CkwSqHyr3eCh8IRdjz,Mujer con Abanico,Agustín Amigó;Nylonwings,relax,0.8811500000000001,"relax_high_e_or_d e=0.14, d=0.77",0.769,0.135,0.471,0.986,0.905,0.061,103.939
04qDUASuSfVp6fktfsxVej,I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,workout,0.6629566666666666,"workout_low_e_or_tempo e=0.52, tempo=157.8",0.461,0.522,0.446,0.36,0.0,0.043,157.768
3dglCYsVMjPbDlU2CC9Vq7,Let's See What The Night Can Do,Jason Mraz,workout,0.45679958333333337,"workout_low_e_or_tempo e=0.42, tempo=113.5",0.392,0.423,0.288,0.27,0.0,0.0348,113.537
27Fq4XyOkogdGLcfsVdjFb,"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,party,0.50928,"party_low_d_or_e d=0.65, e=0.40",0.649,0.399,0.342,0.184,0.000108,0.0256,97.498
45jGOHwYKgsRYbAJ8DR61d,ひまわりの約束,Motohiro Hata,party,0.45094500000000004,"party_low_d_or_e d=0.52, e=0.45",0.523,0.445,0.336,0.188,0.0,0.0329,78.957
3rzRo91l4htQvMXhsiECAX,Higher Love,Todd Carey;Ariza;Chuck Leavell,workout,0.6242066666666667,"workout_low_e_or_tempo e=0.76, tempo=96.8",0.578,0.763,0.394,0.0916,2.8e-06,0.0998,96.808
4cR4nao0hqqBtklQmGVqbe,Thinking out Loud,Boyce Avenue,relax,0.6457499999999999,"relax_high_e_or_d e=0.33, d=0.70",0.702,0.326,0.628,0.705,0.0,0.0272,79.904
7g3ryXLtXExZ0OFCj17Ae1,Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,party,0.482895,"party_low_d_or_e d=0.60, e=0.44",0.601,0.439,0.275,0.0642,0.0,0.0269,99.976
5auMzVHFr5Zfw6IbKarZ56,Breathe (2 AM),Anna Nalick,workout,0.6362579166666665,"workout_low_e_or_tempo e=0.45, tempo=169.8",0.386,0.452,0.287,0.417,0.0,0.0278,169.837
6huS9u0BDfeQHq0lObNLPl,Better Together,Us The Duo,relax,0.6296,"relax_high_e_or_d e=0.31, d=0.76",0.761,0.311,0.553,0.647,0.0,0.0692,109.891
1U1GtaJeYwGsPgqV9Me5bb,Hold You in My Arms,Ray LaMontagne,workout,0.6058741666666666,"workout_low_e_or_tempo e=0.32, tempo=170.1",0.504,0.321,0.577,0.149,0.000107,0.0316,170.134
52J3WARiRHMtXbFXUWrVgu,Someone You Loved,Boyce Avenue,relax,0.6927000000000001,"relax_high_e_or_d e=0.36, d=0.74",0.736,0.364,0.371,0.741,0.0,0.0349,110.023
03VNgdCL9t8aPyvwZecglI,More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,workout,0.6194333333333334,"workout_low_e_or_tempo e=0.53, tempo=139.3",0.451,0.528,0.527,0.366,0.0,0.0364,139.28
3M6NL7PxIDZ3ArfPrBUTUP,Flurry Rush,Days N Daze,romantic,0.5836100000000001,"romantic_low_val_or_acoustic val=0.92, acoustic=0.17",0.371,0.674,0.92,0.169,0.0,0.0488,87.603
4Gcx0DkgBVticyPDpezwg5,Believe - Acoustic,John Adams,relax,0.83055,"relax_high_e_or_d e=0.24, d=0.77",0.765,0.241,0.182,0.873,0.0,0.0373,123.95
4v0RBzYNzTknP6d0zN2VQb,C'est si bon,Aoi Teshima,relax,0.78695,"relax_high_e_or_d e=0.20, d=0.73",0.735,0.203,0.479,0.854,0.00164,0.0539,113.913
7mQmu0JSoEyYU763IJXhIA,Headphones,Jon Bryant,workout,0.6373729166666667,"workout_low_e_or_tempo e=0.46, tempo=160.0",0.559,0.455,0.396,0.421,2.08e-06,0.0306,159.985
4ngv7whSPSAwD8ZP3zMHsd,The Worth Of The Wait,Ivan & Alyosha,relax,0.6772,"relax_high_e_or_d e=0.62, d=0.48",0.48,0.618,0.344,0.844,8.93e-05,0.0501,82.051
0njuNwIyB3DoBHC0SFUkOr,You Broke Me First,Andrew Foy;Renee Foy,relax,0.92011,"relax_high_e_or_d e=0.04, d=0.73",0.734,0.0423,0.14,0.916,0.0,0.0583,123.905
5sdliaZjk3rVGuT13UVhxn,Long Way Down,Joshua Hyslop,relax,0.8104,"relax_high_e_or_d e=0.23, d=0.71",0.711,0.231,0.186,0.832,0.00115,0.0346,125.062
5w8Cu20Yt1ZNQuVdcafTYC,Marigold,Phillip LaRue,workout,0.6481687500000001,"workout_low_e_or_tempo e=0.41, tempo=166.0",0.615,0.406,0.541,0.541,1.67e-05,0.0358,166.035
0KF5nzdiqZlxVK68MPITst,"30,000 Feet",Ben Rector,workout,0.6859695833333334,"workout_low_e_or_tempo e=0.45, tempo=179.9",0.555,0.452,0.321,0.694,0.0,0.0554,179.921
4CU3t2c3TIpmzX44P1VCFi,I Don't Believe in Satan,Aron Wright,party,0.39003499999999997,"party_low_d_or_e d=0.42, e=0.41",0.422,0.41,0.354,0.00855,0.0,0.0467,83.952
0Pi3Ua6fJV1Yx5MGXhfybT,Call You Mine (Acoustic Piano),Ben Woodward,relax,0.7602500000000001,"relax_high_e_or_d e=0.30, d=0.73",0.733,0.297,0.766,0.935,2.75e-06,0.0359,103.953
5dH4xnErpUOIDrGySWGkfJ,Stars Are on Your Side,Ross Copperman,relax,0.58035,"relax_high_e_or_d e=0.62, d=0.26",0.255,0.625,0.191,0.63,0.000211,0.0323,84.611
24Gm1mIhO28NmgT17S95JE,KISSして,Masaharu Fukuyama,workout,0.67794625,"workout_low_e_or_tempo e=0.85, tempo=93.9",0.467,0.851,0.644,0.000353,0.0,0.0526,93.873
2Jhx81CSHw8xWwBqRM2mZR,Hold On - Acoustic,Chord Overstreet,relax,0.8183,"relax_high_e_or_d e=0.26, d=0.70",0.702,0.259,0.246,0.878,5.34e-06,0.0403,120.102
5P6ZBMWS66FVo6deJaDdHy,Dust to Dust,The Civil Wars,relax,0.75025,"relax_high_e_or_d e=0.27, d=0.75",0.747,0.265,0.2,0.745,0.0169,0.0354,138.017
5SgFX13gtlQfsNUpoPshwD,Good night,Masaharu Fukuyama,workout,0.598765,"workout_low_e_or_tempo e=0.50, tempo=145.9",0.522,0.498,0.221,0.0758,1.51e-06,0.0257,145.908
7vu53hQrIoH7UGeh6qcct1,As You Are,Zack Tabudlo,party,0.5716650000000001,"party_low_d_or_e d=0.71, e=0.44",0.715,0.438,0.447,0.353,1.75e-06,0.0373,81.07
5X3w2MfxgMTZkn2mTPQs0u,Stand Your Ground,Joshua Hyslop,relax,0.6277,"relax_high_e_or_d e=0.27, d=0.71",0.71,0.271,0.686,0.658,4.59e-06,0.0283,131.88
6XCPQygbj33s7OUxlbo6bX,Who We Are,Tristan Prettyman,workout,0.48674000000000006,"workout_low_e_or_tempo e=0.51, tempo=108.2",0.521,0.507,0.153,0.0162,4.43e-05,0.0319,108.168
0IZJR2XrPdWqHdnpaPixw9,Heart (Original Version),Masaharu Fukuyama,workout,0.6990545833333334,"workout_low_e_or_tempo e=0.84, tempo=97.0",0.587,0.842,0.693,0.278,0.0,0.0268,97.013
2hSag78vkaBXqpaDF3serw,Kabilugan Ng Buwan,Mark Oblea,relax,0.6548,"relax_high_e_or_d e=0.40, d=0.71",0.707,0.402,0.313,0.677,0.0,0.0251,94.99
2jcDDdBy1foaBC8X9owMrZ,HELLO (Original Version),Masaharu Fukuyama,workout,0.6340004166666667,"workout_low_e_or_tempo e=0.86, tempo=78.0",0.569,0.861,0.511,0.0425,0.0,0.0406,77.983
7KC4B2R255iYIPVG8S7Eey,接吻,Hanare Gumi,party,0.56425,"party_low_d_or_e d=0.71, e=0.30",0.707,0.296,0.65,0.283,0.0,0.078,88.006
0HL3y3bsKSARBSP0qaImwb,Carried Me With You,Brandi Carlile,workout,0.5793533333333334,"workout_low_e_or_tempo e=0.67, tempo=98.4",0.639,0.666,0.372,0.271,0.0,0.0636,98.384
4N1PJshrO7sHB468RoZQjL,"I Believed You, William Blake",Frank Turner,workout,0.56766375,"workout_low_e_or_tempo e=0.53, tempo=130.7",0.387,0.526,0.334,0.244,0.000386,0.0301,130.719
45SbQo5bq8f0hNdB70IyFC,Save Your Tears,Boyce Avenue,relax,0.7337,"relax_high_e_or_d e=0.28, d=0.73",0.735,0.275,0.294,0.746,0.0,0.0304,116.004
2JI53ZVCxMucM68UpCtZ5C,Fake a smile,Wayne Mack,relax,0.7558499999999999,"relax_high_e_or_d e=0.19, d=0.73",0.731,0.191,0.274,0.735,0.671,0.122,149.91
7Afr3PKTtlFGHGiXYgnv6P,I Like You,Ben Rector,workout,0.5713999999999999,"workout_low_e_or_tempo e=0.33, tempo=157.9",0.624,0.334,0.397,0.321,3.27e-06,0.0391,157.92
2jcdviEbZPIpwM10JBQNYc,恋人 (Original Version),Masaharu Fukuyama,party,0.5129450000000001,"party_low_d_or_e d=0.65, e=0.34",0.649,0.336,0.47,0.27,0.0,0.0299,71.967
6wVxhM5GJiZCro0xPWox6g,I Just Called To Say I Love You,Bailey Pelkman;Randy Rektor,relax,0.7453,"relax_high_e_or_d e=0.26, d=0.75",0.746,0.257,0.348,0.772,0.0,0.0312,132.032
73JI06Eznb1N22KHpo3HL7,Boycott Me!,Mischief Brew,workout,0.6282162499999999,"workout_low_e_or_tempo e=0.51, tempo=132.3",0.684,0.509,0.69,0.571,0.0,0.0334,132.297
6339iq4yAm87arKgnNc922,No Christmas For Me,Zee Avi,relax,0.7854000000000001,"relax_high_e_or_d e=0.31, d=0.81",0.809,0.313,0.35,0.876,0.0,0.0428,114.955
1WSF2SjtfkV8LjTlF8uCZH,Start of Time,Gabrielle Aplin,workout,0.4439066666666667,"workout_low_e_or_tempo e=0.46, tempo=106.8",0.453,0.461,0.0844,0.165,0.0,0.0329,106.84
6pTZ8Oy1xGKGCE4saVScoy,Give Me Your Forever,Zack Tabudlo,party,0.482205,"party_low_d_or_e d=0.63, e=0.36",0.627,0.363,0.301,0.279,0.0,0.0291,99.905
4efRaNW2VgDf3pjbm8y4tr,Heat Waves,Bailey Jehl,relax,0.7989,"relax_high_e_or_d e=0.25, d=0.71",0.706,0.248,0.401,0.879,0.0,0.0386,125.515
4khjcb6Mpegp1N596VVyf6,There She Goes,Clementine Duo,relax,0.7022,"relax_high_e_or_d e=0.28, d=0.72",0.724,0.28,0.527,0.755,0.0,0.0303,106.966
0N7UyDRbyHe2L63ilYDcRK,Afterglow,Andrew Foy;Renee Foy,relax,0.8321500000000001,"relax_high_e_or_d e=0.17, d=0.71",0.711,0.168,0.299,0.868,1.99e-05,0.0367,109.937
1ytsxlw6P6gsCc3RrYweyj,Lonely With Me,Parachute,workout,0.6454379166666666,"workout_low_e_or_tempo e=0.81, tempo=87.0",0.589,0.809,0.628,0.0479,0.0,0.0283,87.013
24M6MHeugm1sHHNzCP5eV4,Baby Now That I Found You,Suy Galvez,relax,0.68745,"relax_high_e_or_d e=0.53, d=0.71",0.707,0.531,0.49,0.855,0.000182,0.0245,107.994
5DZVpQguB5TGP3MdkN3JSP,Right Here Waiting,Suy Galvez,relax,0.6958,"relax_high_e_or_d e=0.47, d=0.71",0.707,0.467,0.478,0.832,5.33e-06,0.0367,110.096
5hhhrZMKz1NEZM7jRWufbf,Bob,Frank Turner,workout,0.5388458333333334,"workout_low_e_or_tempo e=0.71, tempo=83.7",0.415,0.713,0.361,0.0555,0.0,0.0345,83.69
7EcFRiCKqijYsuA5UbNnQZ,Perfect Government,Frank Turner,workout,0.6830816666666667,"workout_low_e_or_tempo e=0.88, tempo=91.9",0.474,0.876,0.607,0.00277,6.15e-06,0.0341,91.948
5u2HaXFymnYNePtwI5bU3t,Haven't Been Doing So Well,Frank Turner,workout,0.6711566666666666,"workout_low_e_or_tempo e=0.89, tempo=81.9",0.367,0.892,0.799,0.00012,0.000268,0.133,81.928
63F2nWghdifkNHVns5GT8W,Fade into You,Andrew Belle,workout,0.5951925,"workout_low_e_or_tempo e=0.40, tempo=159.9",0.478,0.398,0.371,0.0222,0.0183,0.0286,159.906
4kXcndvaQEROosxdcbJqzK,あの夏も 海も 空も,Masaharu Fukuyama,workout,0.47417250000000005,"workout_low_e_or_tempo e=0.63, tempo=78.5",0.403,0.631,0.328,0.0502,3.97e-05,0.0356,78.522
4XlevPQOF6GkZCS2yWOkNn,Build Me Up Buttercup,Kina Grannis,relax,0.85446,"relax_high_e_or_d e=0.10, d=0.72",0.721,0.0963,0.576,0.945,1.03e-06,0.0502,124.868
4tK4ARuilOrBzwVQK73E0Y,The Remedy (I Won't Worry),Jason Mraz,workout,0.7159333333333333,"workout_low_e_or_tempo e=0.87, tempo=94.5",0.589,0.867,0.795,0.041,0.0,0.0385,94.52
2E3ObBU2VIrTYOYh8tvi0x,Something Stupid,Bailey Pelkman;Randy Rektor,relax,0.7397,"relax_high_e_or_d e=0.26, d=0.79",0.789,0.261,0.491,0.803,0.0,0.0456,117.961
5bC6ONDsL88snGN6QasjZH,Help Me,Sonny Boy Williamson II,party,0.6365500000000001,"party_low_d_or_e d=0.74, e=0.44",0.745,0.436,0.771,0.597,0.0213,0.043,114.216
2EkGF5wYi3QrxTMMQftm4a,Beer,Mia Rollo,workout,0.6932775000000001,"workout_low_e_or_tempo e=0.49, tempo=170.0",0.473,0.493,0.54,0.84,6.57e-06,0.0302,169.998
6fmrddhzAr0StNzWEzlny5,Linda Ronstadt,AJJ,workout,0.4762266666666667,"workout_low_e_or_tempo e=0.52, tempo=100.7",0.448,0.516,0.29,0.341,0.00497,0.0292,100.672
1HfxPaJggVwFsvOtHbVzMz,Live Like We're Dying,Kris Allen,workout,0.7374154166666667,"workout_low_e_or_tempo e=0.89, tempo=92.0",0.589,0.893,0.94,0.0273,0.0,0.0397,92.011
2wdfI1pjsfvviE7WTKGSYM,Lost Without You,Ben Woodward,workout,0.6844229166666668,"workout_low_e_or_tempo e=0.53, tempo=160.0",0.611,0.534,0.38,0.423,0.0,0.0744,159.985
2lvcDndxZGuowLA19g4YDv,Call Me,Gabrielle Aplin,workout,0.5692533333333334,"workout_low_e_or_tempo e=0.47, tempo=143.5",0.38,0.468,0.303,0.243,0.0,0.0318,143.504
06R84YHz9bqaQzEbIWxzsw,Gentle Heart,Joshua Hyslop,workout,0.5417091666666667,"workout_low_e_or_tempo e=0.37, tempo=135.9",0.603,0.374,0.542,0.256,0.0356,0.0258,135.946
0c7iF5fSBYxCuwsAv2z4iI,Green Mountain State,Trevor Hall,party,0.5174150000000001,"party_low_d_or_e d=0.69, e=0.37",0.693,0.367,0.286,0.351,2.9e-05,0.0323,129.879
44odJaONNr861TeNUYSx3L,Di Papakawalan,Maris Racal,relax,0.78915,"relax_high_e_or_d e=0.40, d=0.71",0.71,0.402,0.136,0.873,0.232,0.0274,106.024
0XV6QiUZCV5IIeTVojlktV,I'll Never Fall in Love Again,Gail Blanco,relax,0.7663000000000001,"relax_high_e_or_d e=0.41, d=0.76",0.758,0.406,0.383,0.901,4.3e-05,0.0306,109.984
02FzDPhxAoCZp6Fz4GzMmL,Goodbye Lulu Pt.2,Days N Daze,workout,0.6800541666666666,"workout_low_e_or_tempo e=0.86, tempo=98.1",0.389,0.864,0.548,0.0362,6.31e-06,0.117,98.11
5ctBsVOClsptyjkQkBLBn4,"10,000 Hours - Acoustic",Adam Christopher;Dan Berk,workout,0.6346279166666666,"workout_low_e_or_tempo e=0.38, tempo=169.9",0.522,0.382,0.519,0.389,0.0,0.031,169.861
0BhmtRzdjNV0bQ5veUOazN,Self Help,Anna Hamilton,party,0.6167900000000001,"party_low_d_or_e d=0.78, e=0.45",0.778,0.445,0.502,0.45,1.28e-06,0.0468,130.01
6kucNn22HB0qb2ZPa1BrNl,"Cold, Cold Feeling",Albert Collins,party,0.523845,"party_low_d_or_e d=0.71, e=0.28",0.713,0.281,0.397,0.137,0.0258,0.0379,148.301
4E73Motq88LCg5Oy42uynU,Sweet Love,Phillip LaRue,workout,0.48691375000000003,"workout_low_e_or_tempo e=0.33, tempo=140.0",0.547,0.328,0.186,0.163,0.0926,0.0321,139.959
203WkDdprjHpN37QMBCMyJ,HEY!,Masaharu Fukuyama,workout,0.72557625,"workout_low_e_or_tempo e=0.89, tempo=95.3",0.548,0.889,0.789,0.0324,0.0,0.0309,95.289
3smgLNxWHdmUekrwDXBTfv,Trouble Sleeping,The Perishers,workout,0.6152212499999998,"workout_low_e_or_tempo e=0.81, tempo=91.1",0.428,0.813,0.347,0.0622,0.00388,0.025,91.053
0UgmLwOrTeOCUNwV07a5AD,Breathe Again,Sara Bareilles,workout,0.64939125,"workout_low_e_or_tempo e=0.48, tempo=169.7",0.366,0.482,0.278,0.288,0.00655,0.0278,169.677
5aGkIyzLVYGuLIHkxpNAFF,Trouble,Ray LaMontagne,workout,0.6457099999999999,"workout_low_e_or_tempo e=0.42, tempo=173.4",0.325,0.424,0.494,0.341,0.000267,0.0438,173.352
7oGGmUTUwH6EooJGeZBJdj,Bitter Heart,Zee Avi,relax,0.6332,"relax_high_e_or_d e=0.38, d=0.74",0.74,0.377,0.408,0.65,0.0,0.0583,78.988
3k6s9QkAZfENWHO3NhAQOn,Arrythmic Palpitations,Chris Cresswell,workout,0.6398458333333334,"workout_low_e_or_tempo e=0.48, tempo=155.0",0.51,0.485,0.451,0.612,5.08e-06,0.0334,154.97
0pHdVMGxXdDcjmye35j63j,Nobody Knows Me At All,The Weepies;Deb Talan;Steve Tannen,relax,0.8793,"relax_high_e_or_d e=0.16, d=0.76",0.759,0.159,0.329,0.957,0.000472,0.0453,115.945
3zjr7jirhGwvqGuuJuIxjg,Photograph,Andrew Foy;Renee Foy,relax,0.86358,"relax_high_e_or_d e=0.05, d=0.81",0.807,0.0459,0.275,0.852,6.14e-06,0.0481,110.512
70vp3DhQpLrFQapK0BI5Ug,Running Wild,Jules Larson,workout,0.5477404166666666,"workout_low_e_or_tempo e=0.66, tempo=97.0",0.529,0.663,0.223,0.368,0.00225,0.0251,96.991
1K0OGTEEPMRdxFGRt5WYRI,約束の丘,Masaharu Fukuyama,workout,0.680015,"workout_low_e_or_tempo e=0.85, tempo=92.7",0.524,0.852,0.635,0.0159,6.35e-06,0.0298,92.748
414FqRxeG518IkFrmzdQjt,Easy on Me,Boyce Avenue,workout,0.6075279166666666,"workout_low_e_or_tempo e=0.51, tempo=142.0",0.586,0.514,0.27,0.56,0.000347,0.0269,142.021
3tInTDUq8wdIMw5ftohmqJ,Girls Chase Boys,Ingrid Michaelson,workout,0.6486354166666666,"workout_low_e_or_tempo e=0.83, tempo=84.8",0.518,0.828,0.69,0.03,1.33e-05,0.04,84.835
6b4mWoXrscyajbLOB2qwfG,Drunks,Johnnyswim,workout,0.42067375000000007,"workout_low_e_or_tempo e=0.46, tempo=96.6",0.399,0.461,0.205,0.157,5.52e-05,0.0411,96.591
1fxIiBHyhR3AhYJBHBZTiq,THATS WHAT I WANT (Acoustic),Adam Christopher,relax,0.7444500000000001,"relax_high_e_or_d e=0.28, d=0.76",0.759,0.275,0.457,0.81,0.0,0.0626,73.553
5msvkAkQ8o2GhNxOu3YW5D,別れの予感,Hanare Gumi,party,0.52146,"party_low_d_or_e d=0.63, e=0.37",0.63,0.367,0.547,0.052,0.000202,0.0232,98.995
2cTaSKEc8OZdF6Tpg2QQsS,Naked Heart,Aimyon,workout,0.5944250000000001,"workout_low_e_or_tempo e=0.45, tempo=148.0",0.559,0.448,0.354,0.537,1.85e-05,0.0275,148.02
3XfMyT4Xf5LegDhvbrFEjp,See You Again,Boyce Avenue;Bea Miller,workout,0.5803766666666668,"workout_low_e_or_tempo e=0.41, tempo=152.0",0.57,0.413,0.278,0.535,0.0,0.0345,152.032
4XBkxG1jC5RBQJt65gma8v,More Than You Know - Acoustic Covers of Popular Songs,Filip Nordin,relax,0.7142000000000001,"relax_high_e_or_d e=0.32, d=0.78",0.776,0.319,0.501,0.791,0.0,0.031,98.016
4CpUwb4JSS0YiGZ4pBryTO,Nothing Really Matters,Gabrielle Aplin,workout,0.6971904166666667,"workout_low_e_or_tempo e=0.53, tempo=162.0",0.328,0.53,0.753,0.0602,0.0,0.0509,162.031
0DCmkHy3eZl8ht8OciCZk8,Pirates of the Caribbean Theme,Eddie van der Meer,focus,0.83375,"focus_low_inst_or_high_e inst=0.95, e=0.52",0.315,0.516,0.184,0.859,0.947,0.0622,188.325
