popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,vibe
44,263760,False,0.568,0.594,1,-9.325,1,0.0292,0.0379,0.371,0.12,0.5,94.984,4,party
0,186226,False,0.658,0.791,8,-4.66,1,0.0512,0.102,0.0,0.139,0.744,75.017,4,party
40,235400,True,0.833,0.661,11,-7.721,0,0.109,0.00836,0.00287,0.076,0.881,78.006,4,party
0,128070,False,0.881,0.56,5,-9.812,1,0.0472,0.028,0.589,0.128,0.703,138.064,4,party
18,500066,False,0.845,0.476,1,-9.619,1,0.0458,0.0217,0.804,0.0852,0.593,122.994,4,party
57,203544,False,0.698,0.799,8,-4.774,0,0.282,0.0322,0.0,0.334,0.746,79.204,4,party
11,212306,False,0.883,0.704,8,-6.262,1,0.142,0.0272,1.48e-06,0.292,0.944,129.989,4,party
80,219789,True,0.747,0.619,3,-6.009,1,0.0588,0.0865,2.03e-05,0.103,0.567,94.98,4,party
83,197436,False,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,4,party
0,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,party
23,119666,False,0.859,0.662,7,-8.877,1,0.0797,0.0477,1.71e-06,0.374,0.795,104.002,4,party
72,378946,False,0.684,0.573,5,-12.3,1,0.0261,0.318,0.028,0.306,0.716,107.363,4,party
52,237458,False,0.754,0.638,5,-7.951,0,0.303,0.118,0.0,0.204,0.437,90.137,4,party
59,241253,True,0.781,0.807,0,-5.574,1,0.261,0.0524,0.0,0.122,0.605,90.008,4,party
23,176285,True,0.876,0.512,1,-11.092,0,0.352,0.425,0.0,0.17,0.887,139.86,4,party
42,147971,True,0.859,0.778,10,-5.659,0,0.33,0.11,0.0,0.174,0.88,95.882,4,party
54,168120,False,0.632,0.471,0,-7.887,1,0.0348,0.313,5.08e-06,0.0712,0.764,121.672,4,party
43,247746,True,0.853,0.643,11,-6.763,0,0.364,0.251,0.0,0.41,0.549,80.913,4,party
0,203737,False,0.73,0.822,0,-4.681,1,0.0704,0.124,0.0,0.234,0.618,94.963,4,party
38,124333,False,0.883,0.395,0,-11.0,1,0.0404,0.486,1.76e-05,0.0979,0.884,135.045,3,party
65,351578,False,0.69,0.489,5,-7.938,1,0.0788,0.13,0.00022,0.0815,0.645,114.008,4,party
49,334688,False,0.916,0.457,7,-7.376,0,0.0533,0.0553,5.8e-05,0.136,0.732,114.989,4,party
0,160933,False,0.759,0.664,5,-4.519,0,0.0517,0.0801,8.83e-05,0.0665,0.623,96.992,4,party
47,180693,False,0.778,0.53,9,-7.915,0,0.13,0.0456,0.916,0.155,0.362,86.49,4,party
58,281906,False,0.702,0.614,8,-4.93,1,0.028,0.103,0.0,0.231,0.507,104.022,4,party
16,219346,False,0.841,0.577,0,-7.544,1,0.0438,0.238,0.86,0.0571,0.843,90.522,4,party
0,194013,False,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,party
28,288453,True,0.758,0.758,11,-7.163,0,0.256,0.416,9.71e-06,0.117,0.762,87.756,4,party
60,308866,False,0.491,0.613,0,-5.567,1,0.0266,0.00511,0.0,0.107,0.175,75.907,4,party
50,140466,False,0.649,0.571,9,-6.198,0,0.027,0.241,1.08e-05,0.172,0.659,108.03,4,party
0,230480,False,0.693,0.492,10,-6.962,1,0.0378,0.559,3.66e-06,0.0972,0.595,76.017,4,party
0,228266,False,0.817,0.484,7,-11.659,1,0.143,0.0515,0.000213,0.0391,0.671,100.978,4,party
0,203146,False,0.512,0.607,9,-5.289,1,0.0304,0.205,0.0,0.29,0.668,63.25,4,party
46,172088,False,0.796,0.645,1,-6.302,1,0.0364,0.671,0.0,0.499,0.761,104.057,4,party
20,123106,True,0.56,0.818,1,-10.339,1,0.947,0.806,0.0,0.84,0.72,74.005,3,party
42,129548,False,0.801,0.651,11,-5.879,1,0.0344,0.574,0.000242,0.0985,0.58,113.02,4,party
74,159386,True,0.889,0.641,7,-4.494,1,0.0668,0.0515,2.75e-05,0.19,0.588,87.99,4,party
75,174321,False,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4,party
0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,party
62,155250,False,0.706,0.632,1,-7.172,1,0.0705,0.00713,0.0,0.129,0.625,87.993,4,party
24,154151,False,0.803,0.769,2,-5.109,1,0.0894,0.107,2.27e-05,0.245,0.583,89.992,4,party
47,404306,False,0.833,0.58,2,-13.021,1,0.0737,0.0306,1.4e-05,0.0956,0.713,99.999,4,party
30,266007,False,0.767,0.571,7,-11.861,1,0.0574,0.103,0.0,0.0865,0.236,119.999,4,party
65,184556,False,0.679,0.481,3,-9.045,1,0.0593,0.208,1.02e-05,0.284,0.486,80.011,4,party
39,296573,False,0.818,0.683,2,-8.45,1,0.0434,0.448,0.0,0.0612,0.942,88.198,4,party
54,154038,True,0.722,0.628,5,-5.133,1,0.565,0.0837,0.0,0.11,0.797,120.554,3,party
42,268800,False,0.765,0.674,7,-4.165,1,0.086,0.0279,0.0136,0.0951,0.354,104.008,4,party
18,223529,False,0.825,0.68,6,-6.816,0,0.156,0.135,0.0,0.109,0.722,96.029,4,party
41,140801,False,0.732,0.588,5,-7.015,1,0.0367,0.523,0.0,0.0945,0.657,94.981,4,party
23,225826,False,0.67,0.592,6,-10.45,0,0.0305,0.606,4.3e-05,0.0952,0.379,96.077,4,party
0,227280,False,0.874,0.69,10,-6.373,1,0.114,0.121,0.0,0.249,0.735,95.025,4,party
54,134452,True,0.89,0.691,8,-9.227,1,0.122,0.179,0.0,0.198,0.699,100.001,4,party
45,225756,False,0.788,0.625,5,-7.299,1,0.04,0.424,0.0,0.69,0.891,130.045,4,party
32,223093,False,0.672,0.804,6,-4.427,1,0.065,0.565,0.0,0.0667,0.938,79.059,4,party
26,530173,False,0.763,0.599,1,-9.069,1,0.0427,0.0238,0.744,0.541,0.112,113.912,4,party
78,177493,False,0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4,party
27,256539,False,0.763,0.923,10,-4.135,1,0.0338,0.374,1.04e-06,0.43,0.941,94.976,4,party
23,51246,False,0.918,0.475,0,-6.998,1,0.0493,0.544,0.0,0.0954,0.696,90.006,4,party
35,151750,True,0.84,0.65,1,-7.724,1,0.357,0.142,0.0,0.106,0.649,115.027,4,party
11,323239,False,0.956,0.525,1,-9.651,1,0.568,0.00962,0.0,0.0545,0.601,123.536,4,party
3,194013,False,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,party
0,184253,False,0.732,0.348,2,-17.078,1,0.0476,0.0484,0.185,0.197,0.963,126.142,4,party
43,242216,False,0.764,0.749,9,-7.412,1,0.132,0.13,0.0,0.264,0.912,101.515,4,party
31,281320,False,0.723,0.619,0,-9.548,1,0.0326,0.554,2.68e-06,0.102,0.846,90.29,4,party
50,283715,False,0.546,0.505,0,-9.909,1,0.0873,0.314,2.93e-05,0.0971,0.522,82.917,4,party
11,380529,False,0.692,0.476,8,-15.572,0,0.0456,0.00348,0.0285,0.0691,0.239,103.506,4,party
31,226931,False,0.749,0.874,0,-5.384,1,0.05,0.307,0.0,0.361,0.897,99.455,4,party
58,154426,False,0.814,0.532,4,-6.798,0,0.0386,0.363,1.59e-06,0.0842,0.482,121.973,4,party
68,256666,False,0.728,0.524,7,-8.227,1,0.0255,0.563,0.000131,0.0913,0.51,90.262,4,party
25,183952,True,0.513,0.697,7,-13.22,1,0.958,0.691,0.0,0.889,0.463,77.949,5,party
20,166875,True,0.891,0.769,4,-3.926,1,0.133,0.0184,5.22e-05,0.0304,0.92,128.006,4,party
58,162026,False,0.913,0.722,7,-2.949,1,0.0576,0.0171,0.0978,0.139,0.545,110.015,4,party
51,205440,False,0.883,0.638,0,-7.894,1,0.0631,0.000849,0.9,0.0923,0.489,124.998,4,party
9,293680,False,0.799,0.638,1,-15.963,1,0.0583,5.67e-05,0.922,0.0638,0.627,127.862,4,party
51,138824,True,0.624,0.442,5,-12.449,0,0.436,0.243,0.0,0.148,0.532,87.048,4,party
16,197495,False,0.902,0.659,4,-3.578,1,0.129,0.57,3.01e-06,0.095,0.422,138.066,4,party
29,262597,True,0.579,0.745,8,-6.486,1,0.932,0.785,0.0,0.663,0.386,83.512,4,party
63,157626,False,0.783,0.454,4,-8.251,1,0.0489,0.456,0.0,0.155,0.711,111.577,4,party
0,202823,False,0.755,0.792,6,-4.238,1,0.0483,0.028,0.0,0.0754,0.842,106.015,4,party
35,183719,False,0.708,0.815,2,-6.769,1,0.0413,0.635,1.07e-06,0.0662,0.961,96.001,4,party
60,157779,False,0.769,0.395,2,-7.71,1,0.0287,0.285,0.0,0.0776,0.558,81.485,4,party
0,226742,True,0.877,0.477,9,-7.379,0,0.0589,0.307,0.0,0.0929,0.552,127.026,4,party
46,392240,False,0.781,0.63,2,-9.768,0,0.0628,0.00755,0.792,0.11,0.365,123.021,4,party
74,195053,False,0.75,0.718,2,-2.817,0,0.0468,0.0814,1.75e-05,0.322,0.592,90.027,4,party
72,200218,False,0.815,0.761,4,-7.162,0,0.144,0.192,0.0,0.0272,0.82,121.999,4,party
32,288200,False,0.739,0.417,4,-13.345,1,0.031,0.276,0.0268,0.108,0.279,115.197,4,party
0,210367,False,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,4,party
71,230185,False,0.758,0.57,6,-8.645,0,0.0462,0.00374,2.47e-06,0.184,0.567,126.966,4,party
0,231266,False,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,4,party
62,195790,False,0.827,0.518,10,-8.156,0,0.343,0.164,0.375,0.61,0.584,80.729,4,party
52,598736,False,0.716,0.716,1,-8.52,1,0.382,0.622,0.0,0.427,0.378,95.1,4,party
13,759266,False,0.892,0.396,6,-17.348,0,0.298,0.651,0.435,0.117,0.54,110.592,4,party
71,233666,False,0.811,0.655,1,-7.118,0,0.0353,0.0947,1.63e-06,0.068,0.925,117.979,4,party
18,212000,False,0.813,0.83,9,-5.57,1,0.199,0.0389,0.0,0.0975,0.809,113.985,4,party
62,224000,False,0.854,0.669,9,-5.206,0,0.0617,0.288,0.0,0.221,0.484,120.023,4,party
55,659266,False,0.532,0.459,9,-10.329,1,0.0307,0.172,6.61e-05,0.0472,0.597,98.196,4,party
39,216400,False,0.69,0.616,4,-6.687,1,0.047,0.103,0.0,0.0954,0.385,74.992,4,party
61,256812,False,0.654,0.671,11,-6.026,1,0.0807,0.359,7.49e-06,0.0656,0.76,90.063,4,party
36,162716,False,0.77,0.62,11,-6.435,0,0.109,0.036,0.848,0.087,0.542,86.987,4,party
37,175493,False,0.74,0.633,2,-8.96,0,0.0589,0.264,1.24e-06,0.121,0.183,112.003,4,party
50,192764,True,0.882,0.668,0,-7.342,1,0.306,0.00668,0.0,0.262,0.716,130.005,4,party
0,150960,False,0.811,0.545,9,-11.434,0,0.0665,0.688,0.0,0.171,0.91,118.168,4,party
23,138388,True,0.606,0.675,11,-14.706,0,0.958,0.744,0.0,0.634,0.601,79.764,5,party
22,192533,False,0.793,0.667,0,-10.096,0,0.059,0.067,0.295,0.101,0.633,116.996,4,party
1,195760,False,0.69,0.858,0,-4.431,1,0.0529,0.189,0.0,0.113,0.755,91.884,4,party
33,275360,False,0.679,0.92,10,-3.075,0,0.117,0.236,1.19e-05,0.335,0.965,81.979,4,party
46,174826,False,0.585,0.789,2,-6.916,1,0.039,0.102,0.0,0.258,0.97,81.481,4,party
33,285773,False,0.757,0.677,4,-8.995,0,0.037,0.247,0.0,0.217,0.917,92.569,4,party
26,194443,False,0.656,0.775,1,-3.788,0,0.186,0.654,0.0,0.172,0.682,91.388,4,party
57,180213,False,0.577,0.583,5,-7.257,0,0.0433,0.0904,0.0,0.0937,0.406,80.002,4,party
54,206645,False,0.752,0.43,10,-10.072,1,0.259,0.455,0.0,0.567,0.564,119.892,4,party
54,229540,False,0.556,0.537,7,-10.761,1,0.0282,0.377,0.0,0.757,0.313,95.914,4,party
53,240157,False,0.602,0.41,11,-12.368,1,0.0391,0.213,1.19e-06,0.235,0.0671,95.02,4,party
46,202000,False,0.686,0.72,5,-4.771,1,0.0252,0.0347,0.0,0.16,0.771,97.978,4,party
2,172066,False,0.797,0.496,6,-10.054,1,0.0382,0.396,0.111,0.149,0.587,103.703,4,party
1,212413,False,0.831,0.818,2,-7.827,1,0.0824,0.0245,0.000319,0.0892,0.819,95.022,4,party
0,147840,True,0.863,0.561,11,-9.924,0,0.161,0.178,0.000844,0.0814,0.472,119.9,4,party
18,146677,False,0.518,0.496,8,-6.819,1,0.173,0.301,0.0,0.102,0.304,72.109,3,party
51,161053,True,0.542,0.699,8,-6.029,1,0.306,0.401,0.0,0.105,0.687,76.391,4,party
7,398349,False,0.692,0.628,3,-11.246,0,0.0325,0.0314,1.37e-06,0.0672,0.788,113.036,4,party
0,377786,False,0.737,0.538,5,-10.228,0,0.0448,0.000733,0.887,0.0671,0.441,124.0,4,party
42,162645,False,0.779,0.628,8,-5.771,1,0.127,0.0829,7.18e-05,0.128,0.21,99.938,4,party
44,147893,False,0.696,0.829,5,-8.432,1,0.0454,0.0361,2.27e-06,0.125,0.899,91.077,4,party
42,203200,False,0.703,0.588,6,-7.765,1,0.126,0.199,0.0,0.13,0.768,75.12,4,party
47,149866,False,0.746,0.477,11,-7.486,1,0.0463,0.124,0.881,0.133,0.714,91.999,4,party
47,208000,False,0.583,0.596,4,-7.159,1,0.0309,0.219,3.58e-05,0.114,0.478,82.996,3,party
32,154853,True,0.717,0.831,11,-3.878,0,0.203,0.000898,0.000185,0.854,0.821,83.986,4,party
21,233560,False,0.722,0.611,10,-7.454,0,0.164,0.52,0.0,0.204,0.574,95.969,4,party
49,328384,False,0.653,0.554,5,-8.156,1,0.0243,0.157,1.23e-06,0.172,0.455,99.974,4,party
33,259066,False,0.826,0.646,11,-11.089,1,0.137,0.073,0.0,0.147,0.956,90.104,4,party
63,212586,False,0.701,0.68,2,-8.492,1,0.0264,0.303,1.51e-05,0.159,0.704,90.607,4,party
44,167507,False,0.648,0.598,0,-6.751,0,0.0623,0.154,0.000132,0.106,0.431,76.025,4,party
31,196973,False,0.825,0.848,7,-3.275,0,0.241,0.309,0.0,0.0544,0.77,104.972,4,party
59,269200,False,0.703,0.781,8,-6.876,0,0.0468,0.194,0.000368,0.0928,0.679,94.014,4,party
21,202360,False,0.731,0.797,1,-5.983,1,0.315,0.000608,0.0,0.306,0.605,92.014,4,party
23,206533,False,0.643,0.75,2,-3.581,0,0.0395,0.576,0.0,0.261,0.853,47.482,4,party
20,392706,False,0.971,0.334,11,-12.72,0,0.47,0.0776,0.888,0.111,0.302,128.044,5,party
69,238053,True,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,4,party
34,383813,False,0.812,0.639,4,-10.187,0,0.0412,0.112,0.0,0.236,0.918,98.007,4,party
26,265454,False,0.965,0.636,9,-8.432,1,0.0875,0.0957,0.0,0.489,0.49,122.039,4,party
33,82345,False,0.612,0.526,5,-8.388,0,0.0791,0.223,0.0,0.292,0.727,88.578,4,party
33,276533,False,0.763,0.809,0,-4.957,1,0.0458,0.224,0.0,0.0803,0.689,86.606,4,party
33,144536,False,0.821,0.379,11,-16.691,0,0.0573,0.437,0.00421,0.115,0.573,109.912,4,party
26,219450,True,0.588,0.706,6,-13.119,0,0.957,0.672,0.0,0.865,0.491,81.222,4,party
55,350068,False,0.768,0.685,2,-11.289,1,0.0303,0.13,0.000268,0.313,0.855,110.994,4,party
0,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,party
0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,party
43,237693,False,0.66,0.648,7,-5.662,1,0.0284,0.446,0.0,0.131,0.507,93.992,4,party
33,104954,False,0.82,0.721,4,-5.641,1,0.0906,0.48,4.29e-06,0.129,0.904,95.032,4,party
85,186964,False,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016,4,party
85,230704,True,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004,4,party
3,155960,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,party
33,342386,False,0.792,0.637,9,-5.487,0,0.0383,0.31,2.7e-05,0.191,0.633,100.024,4,party
28,169106,False,0.738,0.738,3,-4.577,1,0.0296,0.00848,4.24e-06,0.324,0.708,108.986,4,party
59,166525,False,0.802,0.382,9,-14.841,1,0.0468,0.131,0.0271,0.161,0.0894,117.969,4,party
42,194170,False,0.715,0.649,4,-8.077,0,0.0286,0.639,0.000339,0.491,0.722,105.058,4,party
75,181186,False,0.623,0.533,10,-8.164,1,0.0653,0.245,0.00717,0.112,0.247,84.982,4,party
39,152493,False,0.865,0.409,11,-12.19,1,0.0368,0.182,0.0,0.277,0.803,119.888,4,party
66,242005,False,0.752,0.452,0,-11.399,1,0.35,0.133,0.000194,0.236,0.833,99.684,4,party
62,127802,False,0.787,0.478,5,-8.761,0,0.092,0.566,0.0,0.147,0.649,79.029,4,party
69,225992,False,0.84,0.728,4,-8.473,0,0.0436,0.127,0.00114,0.114,0.74,124.066,4,party
0,118466,True,0.904,0.601,2,-5.561,1,0.198,0.0305,0.0,0.615,0.761,87.037,4,party
42,156461,True,0.633,0.641,10,-1.777,1,0.454,0.71,0.000491,0.14,0.59,83.804,3,party
4,75375,False,0.826,0.733,7,-8.427,1,0.04,0.235,0.655,0.107,0.93,100.023,4,party
23,295888,False,0.547,0.572,10,-11.227,1,0.0312,0.0218,1.03e-06,0.231,0.411,66.257,4,party
37,254029,False,0.73,0.749,7,-4.506,1,0.0459,0.54,0.0,0.151,0.55,92.014,4,party
69,160768,False,0.826,0.712,11,-5.219,0,0.0727,0.095,0.0,0.105,0.49,93.029,4,party
14,210173,False,0.791,0.576,7,-7.604,1,0.338,0.501,0.522,0.376,0.684,100.921,4,party
60,293893,False,0.874,0.412,0,-5.746,0,0.0313,0.035,0.00684,0.102,0.56,105.019,4,party
33,369200,False,0.707,0.296,7,-11.633,1,0.078,0.283,0.0,0.0601,0.65,88.006,4,party
69,171692,False,0.828,0.599,11,-1.624,1,0.149,0.381,0.0,0.0775,0.478,86.533,5,party
0,193076,True,0.908,0.559,11,-6.329,1,0.333,0.00656,0.0,0.234,0.616,143.993,4,party
1,184732,False,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,4,party
28,133733,False,0.642,0.468,0,-10.414,1,0.0345,0.404,0.0,0.0702,0.769,107.956,4,party
56,141828,False,0.753,0.679,5,-4.792,1,0.0569,0.139,0.0,0.148,0.688,117.961,4,party
0,236000,False,0.826,0.517,0,-7.623,1,0.318,0.531,0.00302,0.0759,0.694,108.133,4,party
0,226745,True,0.762,0.766,5,-4.615,1,0.0375,0.209,0.0,0.198,0.888,107.011,4,party
44,141554,False,0.74,0.605,7,-7.601,1,0.0513,0.531,0.0,0.27,0.973,119.313,4,party
15,82378,False,0.92,0.452,8,-9.494,0,0.201,0.193,0.0182,0.0574,0.814,139.999,4,party
46,309916,False,0.754,0.582,4,-7.91,1,0.455,0.429,0.0,0.358,0.883,82.652,4,party
50,173877,False,0.557,0.387,6,-9.416,0,0.0267,0.0279,6.16e-06,0.369,0.153,98.089,4,party
40,180618,False,0.754,0.731,10,-4.643,0,0.0413,0.112,0.000239,0.157,0.552,97.03,4,party
0,157837,False,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,party
20,212493,False,0.937,0.5,7,-11.622,1,0.198,0.544,0.861,0.104,0.711,101.665,4,party
1,170173,False,0.755,0.642,10,-11.849,1,0.0566,0.564,0.000105,0.0443,0.969,79.768,4,party
41,191373,False,0.798,0.633,5,-7.259,1,0.043,0.0795,0.000318,0.257,0.782,89.029,4,party
37,303178,False,0.722,0.389,7,-13.878,1,0.0434,0.11,0.655,0.104,0.369,110.93,4,party
49,151926,False,0.75,0.382,8,-8.466,1,0.0312,0.29,0.298,0.279,0.454,97.226,4,party
23,166920,False,0.615,0.799,7,-8.019,1,0.0375,0.0251,0.00292,0.125,0.715,75.003,4,party
0,190560,False,0.737,0.522,6,-9.205,0,0.0485,0.0772,0.00347,0.152,0.768,86.985,4,party
84,186173,True,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4,party
1,192477,True,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,party
17,135849,False,0.761,0.745,11,-4.651,1,0.0457,0.12,1.1e-05,0.0551,0.7,106.02,4,party
38,209583,False,0.667,0.747,9,-6.665,0,0.122,0.0333,0.00112,0.362,0.59,75.028,4,party
0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,party
60,279720,False,0.801,0.641,8,-9.349,1,0.173,0.34,4.5e-05,0.0693,0.741,96.96,4,party
78,153693,False,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4,party
66,210641,False,0.787,0.543,10,-6.7,0,0.037,0.0233,0.0,0.0861,0.332,99.026,4,party
22,249836,False,0.898,0.404,2,-11.271,1,0.0801,0.0503,0.127,0.131,0.408,93.999,4,party
49,181179,False,0.589,0.646,7,-8.157,1,0.0287,0.521,0.00782,0.385,0.345,88.999,4,party
49,146629,True,0.826,0.453,1,-12.285,1,0.336,0.00439,0.0,0.372,0.807,156.307,4,party
64,266279,False,0.732,0.466,0,-8.403,1,0.0383,0.239,0.025,0.149,0.444,125.003,4,party
20,175626,False,0.748,0.644,8,-8.688,0,0.243,0.0593,0.0,0.247,0.895,96.035,4,party
8,128426,False,0.813,0.433,7,-11.038,1,0.0284,0.0231,0.613,0.091,0.907,96.024,4,party
44,199800,False,0.77,0.457,2,-9.08,0,0.0587,0.399,2.81e-05,0.218,0.601,97.536,4,party
74,249626,False,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,4,party
3,164440,False,0.771,0.381,1,-6.809,0,0.0516,0.151,0.0,0.104,0.534,94.92,4,party
18,254693,True,0.728,0.728,9,-6.208,1,0.216,0.175,0.0,0.0429,0.865,98.067,4,party
62,252266,False,0.698,0.633,8,-6.68,0,0.0406,0.0508,0.272,0.264,0.55,94.085,4,party
0,195760,False,0.69,0.858,0,-4.431,1,0.0529,0.189,0.0,0.113,0.755,91.884,4,party
28,110520,False,0.687,0.861,0,-5.909,0,0.319,0.43,5.2e-06,0.351,0.871,93.604,4,party
24,140199,True,0.705,0.555,2,-7.811,1,0.941,0.653,0.0,0.649,0.661,116.073,5,party
25,103490,True,0.741,0.558,7,-7.7,1,0.335,0.366,0.0,0.125,0.602,99.348,4,party
78,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,4,party
0,219906,False,0.815,0.815,7,-5.334,1,0.0431,0.721,0.0107,0.0407,0.883,100.057,4,party
0,269348,False,0.832,0.747,9,-12.33,0,0.0486,0.103,0.00829,0.0685,0.962,111.865,4,party
73,169566,False,0.752,0.642,3,-5.165,0,0.0869,0.0861,0.0,0.0953,0.388,95.043,4,party
0,159293,False,0.804,0.323,0,-11.127,0,0.305,0.308,0.0,0.15,0.456,87.019,4,party
2,146264,True,0.765,0.725,3,-3.391,0,0.143,0.00471,0.000194,0.154,0.578,75.003,4,party
36,187253,False,0.738,0.489,11,-11.883,0,0.0604,0.455,0.00271,0.084,0.132,124.015,4,party
0,211013,False,0.535,0.522,2,-7.87,1,0.0363,0.131,0.0,0.438,0.305,77.054,4,party
48,211880,False,0.742,0.44,8,-8.045,0,0.0609,0.465,0.00134,0.0924,0.307,129.894,3,party
22,106112,True,0.64,0.596,6,-13.661,0,0.899,0.796,0.0,0.797,0.624,99.136,4,party
39,181249,True,0.771,0.803,11,-6.06,0,0.329,0.0625,4.06e-06,0.079,0.502,93.115,4,party
53,216080,False,0.851,0.414,11,-8.518,0,0.0314,0.0498,0.00135,0.11,0.581,102.807,4,party
0,217533,False,0.641,0.622,5,-9.563,0,0.0288,0.32,0.000972,0.0807,0.75,90.022,4,party
53,230042,False,0.759,0.714,6,-7.333,0,0.205,0.223,0.0,0.209,0.5,87.987,4,party
52,226479,False,0.801,0.571,10,-10.419,0,0.0574,0.177,0.905,0.107,0.702,119.993,4,party
47,366413,False,0.889,0.474,11,-9.017,0,0.345,0.0304,7.44e-06,0.0887,0.745,79.976,4,party
26,256920,False,0.765,0.785,0,-5.986,1,0.0363,0.104,0.0,0.0355,0.85,100.058,4,party
20,213505,False,0.633,0.52,10,-6.238,0,0.0351,0.559,0.00061,0.192,0.458,73.493,4,party
35,210546,False,0.749,0.672,2,-8.115,1,0.0544,0.638,3.99e-05,0.0962,0.853,94.084,4,party
28,286464,False,0.679,0.718,5,-3.261,1,0.045,0.432,0.0,0.127,0.691,96.485,4,party
0,211013,False,0.535,0.522,2,-7.87,1,0.0363,0.131,0.0,0.438,0.305,77.054,4,party
54,197255,False,0.641,0.637,2,-5.965,1,0.06,0.318,0.0,0.0755,0.674,91.952,4,party
